term,definition,subject,slug
Aizu-Hongo (会津本郷),"A ceramic center that encompasses Aizu-Hongo and Aizu-Wakamatsu in the Fukushima Prefecture of Japan. Kilns in this area began producing porcelain around 1800, which was distributed to Tokyo and to markets throughout the northeastern portion of Honshu. Beginning in the late nineteenth century, Aizu-Hongo wares were also exported to the United States (Crueger et al. 2006:228). Aizu-Hongo teapots decorated with sometsuke (染付) peony motifs appear in American import catalogs from 1907 and 1916 (Van Patten 1997:11,16). Shark-skin (鮫肌釉)) glazed teapots, also likely from Aizu-Hongo, appear in 1914 and 1916 catalogs (Litts 1988:44; Van Patten 1994:37). These catalogs illustrate dobin (⼟瓶), kyusu (急須), and teipotto (ティーポット) forms.",Aizu-Hongo,aizu-hongo
Asagao (朝顔),"Morning glory; literally ""morning face,"" this small trumpeted flower is known for blooming primarily in the morning (Dower 1971:64).",Asagao (morning glory),asagao-morning-glory
Botan (牡丹),A peony. As a decorative element the botan flower can sometimes be difficult to distinguish from the chrysanthemum or lotus. It is often pictured alone or paired with lions or butterflies (Gorham 1971:209; Ross 2012:20).,Botan (peony),botan-peony
Chawan/Jawan (茶碗),"Literally ""tea bowl,"" this term can be applied to a variety of similarly shaped bowls/cups used for tea, soup, rice, or other foods (Crueger et al. 2006:285; Leland Bibb 2015, elec. comm.). When used in a sentence or preceded by adjectives, chawan is often converted to jawan for ease of pronunciation.",Chawan (indeterminate bowl),chawan-indeterminate-bowl
Choka (彫花),"Literally ""carving flower,"" choka refers to carved or incised decoration on ceramics. Wooden, bamboo, or metal tools can be used to carve decorative elements into a vessel's surface before the paste has fully dried. Carved elements like flowers are called obori (凹彫り), while incised lines are known as senbori (線彫り). When carving creates a low-relief negative pattern by removing the background, this is called hirabori (平彫り) (Crueger et al. 2006:285; Simpson et al. 2014:60).",Choka (carving),choka-carving
Choko (猪⼝),"A general term for a sake cup, used here to refer to sake cups of indeterminate size or function. Choko are usually smaller than guinomi (ぐい吞み) but come in a variety of shapes and sizes (Simpson et al. 2015:91). ""Wild boar mouth,"" the literal translation of choko, refers to one common choko shape.",Choko (indeterminate sake cup),choko-indeterminate-sake-cup
Kumo to Yama (雲と山),"Cloud and Mountain; a pattern derived from Chinese precedents that commonly appears along vessel rims, especially on Phoenix Ware (鳳凰器) forms (Oats 1984:18). For an example see Ho-o Zara.",,kumo-to-yama-cloud-and-mountain
Diapers (繋ぎ紋・繋ぎ文 or 乱れ紋・乱れ文),"Small, repeating, and often geometric designs that cover an entire area of a vessel (Gorham 1971:220). Examples include the seven jewels (七宝), turtle shell (亀甲 ), and seigaiha (青海波) paterns.",Seven Jewels diaper;Turtle Shell diaper;Seigaiha (blue sea waves) diaper,diapers
Doban or Doban Tensha (銅板・銅板転写),"Literally ""copper plate transcription,"" doban and doban tensha refer to transferprint decoration-- decoration that has been applied, or transferred, from engraved metal plates (Ross 2009:156).",Doban or Doban Tensha (transferprinted),doban-or-doban-tensha-transferprinted
Dobin (⼟瓶),"Dobin literally translates to ""earthen bottle or jar"" and refers to a type of teapot with a round body and a handle, frequently made of bamboo, that attaches to ceramic lugs on the top of the vessel. A slightly larger teapot, the dobin was traditionally used to serve tea at family meals (Cort 2000:230–231; Ross 2012:10–12).",Dobin (teapot),dobin-teapot
