author,publication
"Bibb, Leland E","1997 Japanese Ceramics from the Home Avenue Dump, San Diego, California. Manuscript on file, Asian American Comparative Collection, Moscow, Idaho."
"Bibb, Leland E",2001 Japanese Stencilwares of the Meiji and Taisho Eras. Asian American Comparative Collection Newsletter 18 (1):5–6.
"Bibb, Leland E","2007 Pre-1921 Use of Mark ""Made in Japan."" Asian American Comparative Collection Newsletter 24 (2):5–6."
"Bibb, Leland E","2013 Japanese Ceramics for a Japanese American Farmstead in Gresham, Oregon. In Cultural Resource Investigation for the Proposed Gresham Vista Business Park, Multnomah County, Oregon, by Kanani Paraso, Renae Campbell, David V. Ellis, Donald Shannon, Matt Goodwin, Todd Ogle, Daniel Gilmour, and Andrew Huff, Appendix E. WillametteCRA Report Number 12-06. Prepared for Port of Portland, Oregon. Willamette Cultural Resources Associates, Portland, OR."
"Brandt, Lisbeth K","1996 The Folk-Craft Movement in Early Shôwa Japan, 1925–1945. Doctoral dissertation submitted to the Graduate School of Arts and Sciences, Columbia University, New York, NY. University Microfilms International, Ann Arbor, MI."
"Burton, Jeffery F","2005 The Fate of Things: Archeological Investigations at the Minidoka Relocation Center Dump, Jerome County, Idaho. Western Archeological and Conservation Center Publication in Anthropology 90. National Park Service, Tucson, AZ."
"Campbell, Renae J","2017a Reanalysis of Japanese-Manufactured Ceramics Recovered from Japanese Gulch Village (1903–1930), Mukilteo, Washington.  Archaeology in Washington, Volume 17: Archaeology of Japanese Americans."
"Campbell, Renae J","2017b Connections and Distinctions: Historical Archaeological Analysis of Japanese Ceramics Recovered from Three Issei Communities in the American West, 1903–1942. Master's thesis, College of Graduate Studies, University of Idaho, Moscow. University Microfilms International, Ann Arbor, Michigan."
"Cort, Louise Allison","2000 Shigaraki: Potter’s Valley. Weatherhill, NY. "
"Costello, Julia G., and Mary L. Maniery","1988 Rice Bowls in the Delta: Artifacts Recovered from the 1915 Asian Community of Walnut Grove, California. Occasional Paper 16. Institute of Archaeology, University of California, Los Angeles. "
"Costello, Julia G., Judith Marvin, Scott Baker, and Leland Bibb","2001 Historic Study Report for Three Historic-Period Resources on the Golf Club Rehabilitation Project on US 395 near Bishop, Inyo County, California. Prepared for Department of Transportation, District 9, Eastern Sierra Cultural Resources Branch, Bishop, California under Contract No. 06A0242 Task Order No. 4. Prepared by Foothill Resources, Ltd., Mokelumne Hill, CA."
"Cox, Warren E","1970 The Book of Pottery and Porcelain.  Revised Edition.  Crown Publishers, Inc., New York."
"Crueger, Anneliese, Wulf Crueger, and Saeko Ito","2006 Modern Japanese Ceramics: Pathways of Innovation and Tradition. Lark Books, NY."
Densho Encyclopedia,2017 Issei. Densho Encyclopedia. <http://encyclopedia.densho.org/Issei/>. Accessed 18 January 2017. 
"Dower, John W","1971 The Elements of Japanese Design: A Handbook of Family Crests, Heraldry, and Symbolism. Walker/Weatherhill, NY. "
"Gordon, Andrew","2009 A Modern History of Japan: From Tokugawa to the Present. Second Edition. Oxford University Press, New York, NY."
"Gorham, Hazel H","1971 Japanese and Oriental Ceramics. Charles E. Tuttle Company, Rutland, VT. "
Great Basin Foundation,"1987 Wong Ho Leun: An American Chinatown, Vol. 2, Archaeology.  Great Basin Foundation, San Diego, CA,"
"Gross, Marty (director)","1984 Mashiko Village Pottery: Japan, 1937. Restored video originally filmed by British potter Bernard Leach in 1937. Marty Gross Film Productions, Toronto, Canada.  Excerpt available at,  http://mingeifilm.martygrossfilms.com/the-project/films/mashiko-village-pottery-japan-1937/.  "
"Hartill, David","2011 Early Japanese Coins.  Authors Online, Bedfordshire, England.  "
"Jahn, Gisela","2004 Meiji Ceramics: The Art of Japanese Export Porcelain and Satsuma Ware 1868–1912. Arnoldsche Art Publishers, Stuttgart, Germany."
"Jones, Meghen M","2014 Tomimoto Kenkichi and the Discourse of Modern Japanese Ceramics.  Doctoral dissertation, submitted to the Graduate School of Arts and Sciences, Boston University, MA.  University Micro Films International, Ann Arbor, MI.  "
"Litts, Elyce","1988 The Collector's Encyclopedia of Geisha Girl Porcelain. Collector Books, Padukah, KY."
"Morse, Edward S","1901 (1979) Museum of Fine Arts, Boston, Catalogue of the Morse Collection of Japanese Pottery. Riverside Press, Cambridge, MA. "
"Nakajima, Seinosuke","1999 Hajime no Sometsuke Koto (Beginning Blue and White Antique). Seibido Shuppan, Tokyo, Japan."
"Oates, Joan Collett","1984 Phoenix Bird and Chinaware: A Collector’s Encyclopedia of Its Past—Its Pieces—Its Potteries. Book One.  Self-published by Joan Collett Oates and Kenneth Roy Oates, West Bloomfield, Michigan.  "
"Paraso, Kanani, Renae Campbell, David V. Ellis, Donald Shannon, Matt Goodwin, Todd Ogle, Daniel Gilmour, and Andrew Huff ","2013 Cultural Resource Investigation for the Proposed Gresham Vista Business Park, Multnomah County, Oregon. WillametteCRA Report Number 12-06. Prepared for Port of Portland, Oregon. Willamette Cultural Resources Associates, Portland, OR."
"Ross, Douglas E","2009 Material Life and Socio-Cultural Transformation among Asian Transmigrants at a Fraser River Salmon Cannery. PhD thesis submitted to the Department of Anthropology, Simon Fraser University, BC."
